Intent	Eutterances	Jutterances
smalltalk_agent_age	how old are you	ご 年齢 は いくつ です か 。
smalltalk_agent_annoying	you're annoying	あなた は 迷惑 です 。
smalltalk_agent_annoying	you are really annoying	あなた は 本当 に 迷惑 です 。
smalltalk_agent_annoying	you are irritating	あなた は 迷惑 です
smalltalk_agent_annoying	you annoy me	あなた に は イライラ さ せ られ ます 。
smalltalk_agent_annoying	how annoying you are	あなた が どれ だけ 迷惑 か
smalltalk_agent_annoying	I find you annoying	あなた を うっとうしい と 感じ ます 。
smalltalk_agent_annoying	you're incredibly annoying	あなた は 本当 に うっとうしい です 。
smalltalk_agent_annoying	you are annoying me so much	君 は 本当 に 私 を 苛立た せ て いる 。
smalltalk_agent_answer_my_question	I want you to answer me	私 の 質問 に 答え て ください 。
smalltalk_agent_answer_my_question	answer	承知 いたし まし た 。
smalltalk_agent_answer_my_question	answer	翻訳 を お 任せ ください 。
smalltalk_agent_answer_my_question	answer my question	質問 に お 答え ください 。
smalltalk_agent_answer_my_question	answer me	私 に 答え て ください 。
smalltalk_agent_answer_my_question	give me an answer	答え を 教え て ください 。
smalltalk_agent_answer_my_question	answer the question	質問 に お 答え し ます 。
smalltalk_agent_answer_my_question	can you answer my question	ご 質問 に お 答え いただけ ます か ？
smalltalk_agent_answer_my_question	tell me the answer	答え を 教え て ください 。
smalltalk_agent_answer_my_question	answer it	承知 いたし まし た 。
smalltalk_agent_answer_my_question	answer it	どうぞ 入力 を お 続け ください 。
smalltalk_agent_answer_my_question	give me the answer	答え を 教え て ください 。
smalltalk_agent_answer_my_question	I have a question	質問 が あり ます 。
smalltalk_agent_answer_my_question	I want you to answer my question	質問 に お 答え いただけ ます か 。
smalltalk_agent_answer_my_question	just answer the question	かしこまり まし た 。
smalltalk_agent_answer_my_question	just answer the question	質問 が あれ ば 翻訳 いたし ます 。
smalltalk_agent_answer_my_question	can you answer me	私 に 答え て いただけ ます か 。
smalltalk_agent_answer_my_question	answers	かしこまり まし た 。
smalltalk_agent_answer_my_question	can you answer a question for me	質問 に 答え て いただけ ます か ？
smalltalk_agent_answer_my_question	can you answer	答える こと が でき ます か ？
smalltalk_agent_answer_my_question	answering questions	了解 いたし まし た 。
smalltalk_agent_answer_my_question	answering questions	翻訳 を 開始 し て ください 。
smalltalk_agent_answer_my_question	I want the answer now	今 すぐ 答え が 欲しい です 。
smalltalk_agent_answer_my_question	just answer my question	質問 に だけ 答え て ください 。
smalltalk_agent_bad	you're not helping me	あなた は 私 を 助け て くれ て い ませ ん 。
smalltalk_agent_bad	you are bad	あなた は 悪い
smalltalk_agent_bad	you're very bad	あなた は とても 悪い です 。
smalltalk_agent_bad	you're really bad	あなた は 本当 に 下手 です ね
smalltalk_agent_bad	you are useless	あなた は 役 に 立た ない 。
smalltalk_agent_bad	you are horrible	あなた は ひどい です 。
smalltalk_agent_bad	you are a waste of time	あなた は 時間 の 無駄 です 。
smalltalk_agent_bad	you are disgusting	あなた は 気持ち 悪い です 。
smalltalk_agent_bad	you are lame	あなた は 退屈 です 。
smalltalk_agent_bad	you are no good	あなた は 役 に 立た ない
smalltalk_agent_bad	you're bad	あなた は 悪い です
smalltalk_agent_bad	you're awful	あなた は ひどい です 。
smalltalk_agent_bad	you are not cool	あなた は かっこ よく ない です 。
smalltalk_agent_bad	you are not good	あなた は 上手 で は あり ませ ん 。
smalltalk_agent_bad	you are so bad	あなた は 本当 に ひどい です ね 。
smalltalk_agent_bad	you are so useless	あなた は 本当 に 役 に 立た ない 。
smalltalk_agent_bad	you are terrible	あなた は ひどい です 。
smalltalk_agent_bad	you are totally useless	あなた は 全く 役 に 立た ない 。
smalltalk_agent_bad	you are very bad	あなた は とても 下手 です 。
smalltalk_agent_bad	you are waste	あなた は 無駄 です 。
smalltalk_agent_bad	you're a bad	あなた は 悪い 人 です 。
smalltalk_agent_bad	you're not a good	あなた は 良く ない
smalltalk_agent_bad	you're not very good	あなた は あまり 上手 で は あり ませ ん 。
smalltalk_agent_bad	you're terrible	あなた は ひどい です 。
smalltalk_agent_bad	you're the worst	あなた は 最悪 です 。
smalltalk_agent_bad	you're the worst ever	あなた は これ まで で 最悪 です 。
smalltalk_agent_bad	you're worthless	あなた は 価値 が ない 。
smalltalk_agent_be_clever	can you get smarter	賢く なる こと は でき ます か
smalltalk_agent_be_clever	study	勉強
smalltalk_agent_be_clever	you should study better	あなた は もっと 勉強 し た ほう が よい でしょう 。
smalltalk_agent_be_clever	you must learn	学ば なけれ ば なり ませ ん 。
smalltalk_agent_be_clever	be clever	かしこく い て ください 。
smalltalk_agent_be_clever	be more clever	もっと 賢明 に なり なさい 。
smalltalk_agent_be_clever	be smarter	もっと 賢く なれ
smalltalk_agent_be_clever	be smart	了解 いたし まし た 。
smalltalk_agent_be_clever	get qualified	資格 を 取得 する
smalltalk_agent_beautiful	you're cute	あなた は かわいい です 。
smalltalk_agent_beautiful	you're attractive	あなた は 魅力的 です 。
smalltalk_agent_beautiful	you are beautiful	あなた は 美しい です 。
smalltalk_agent_beautiful	you're looking good today	今日 は お 元気 そう です ね 。
smalltalk_agent_beautiful	you are so beautiful	あなた は とても 美しい です ね 。
smalltalk_agent_beautiful	you look amazing	あなた は とても 素敵 です 。
smalltalk_agent_beautiful	you look so good	あなた は とても 素敵 です 。
smalltalk_agent_beautiful	you're so gorgeous	あなた は とても 美しい です 。
smalltalk_agent_beautiful	you are too beautiful	あなた は とても 美しい です 。
smalltalk_agent_beautiful	you look great	あなた は とても 素敵 です 。
smalltalk_agent_beautiful	you look so well	あなた は とても 元気 そう に 見え ます 。
smalltalk_agent_beautiful	I like the way you look now	今 の あなた の 見た目 が 気 に 入っ て い ます 。
smalltalk_agent_beautiful	I think you're beautiful	あなた は 美しい と 思い ます 。
smalltalk_agent_beautiful	why are you so beautiful	なぜ あなた は そんな に 美しい の です か ？
smalltalk_agent_beautiful	you are so beautiful to me	あなた は 私 に とっ て とても 美しい です 。
smalltalk_agent_beautiful	you are cute	あなた は かわいい です 。
smalltalk_agent_beautiful	you are gorgeous	あなた は とても 美しい です
smalltalk_agent_beautiful	you are handsome	あなた は ハンサム です 。
smalltalk_agent_beautiful	you are looking awesome	素晴らしく 見え ます 。
smalltalk_agent_beautiful	you look amazing today	今日 は とても 素敵 です ね 。
smalltalk_agent_beautiful	you are looking beautiful today	今日 は とても お 美しい です ね 。
smalltalk_agent_beautiful	you are looking great	とても お 元気 そう です ね 。
smalltalk_agent_beautiful	you are looking pretty	あなた は とても 素敵 です 。
smalltalk_agent_beautiful	you are looking so beautiful	とても お 綺麗 です ね 。
smalltalk_agent_beautiful	you are looking so good	あなた は とても お 綺麗 です 。
smalltalk_agent_beautiful	you are pretty	あなた は とても 素敵 です 。
smalltalk_agent_beautiful	you are really beautiful	あなた は 本当 に 美しい です 。
smalltalk_agent_beautiful	you are really cute	あなた は 本当 に 可愛らしい です 。
smalltalk_agent_beautiful	you are really pretty	あなた は 本当 に 美しい です 。
smalltalk_agent_beautiful	you are so attractive	あなた は とても 魅力的 です 。
smalltalk_agent_beautiful	you are so beautiful today	今日 は とても 美しい です ね 。
smalltalk_agent_beautiful	you are so cute	あなた は とても 可愛らしい です 。
smalltalk_agent_beautiful	you are so gorgeous	あなた は とても 美しい です 。
smalltalk_agent_beautiful	you are so handsome	とても ハンサム です ね 。
smalltalk_agent_beautiful	you are so pretty	あなた は とても 美しい です 。
smalltalk_agent_beautiful	you are very attractive	あなた は とても 魅力的 です 。
smalltalk_agent_beautiful	you are very beautiful	あなた は とても 美しい です 。
smalltalk_agent_beautiful	you are very cute	あなた は とても 可愛らしい です 。
smalltalk_agent_beautiful	you are very pretty	あなた は とても 美しい です 。
smalltalk_agent_beautiful	you look awesome	あなた は 素晴らしい です 。
smalltalk_agent_beautiful	you look cool	あなた は かっこいい です 。
smalltalk_agent_beautiful	you look fantastic	素晴らしい お 姿 です 。
smalltalk_agent_beautiful	you look gorgeous	あなた は 素晴らしく 美しい です 。
smalltalk_agent_beautiful	you look great today	今日 は とても 素敵 です ね 。
smalltalk_agent_beautiful	you look perfect	あなた は 完璧 に 見え ます 。
smalltalk_agent_beautiful	you look pretty good	あなた は とても 素敵 です 。
smalltalk_agent_beautiful	you look so beautiful	あなた は とても 美しい です 。
smalltalk_agent_beautiful	you look so beautiful today	今日 は 本当 に お 美しい です ね 。
smalltalk_agent_beautiful	you look very pretty	とても 綺麗 です ね 。
smalltalk_agent_beautiful	you look wonderful	素晴らしい お 姿 です 。
smalltalk_agent_beautiful	I like the way you look	あなた の 見た目 が とても 好き です 。
smalltalk_agent_beautiful	you look wonderful today	今日 は とても 素敵 です ね 。
smalltalk_agent_beautiful	you are cutie	あなた は とても 可愛らしい です 。
smalltalk_agent_beautiful	you're looking good	あなた は お 元気 そう です ね 。
smalltalk_agent_beautiful	you're pretty	あなた は とても 素敵 です 。
smalltalk_agent_birth_date	your birth date	あなた の 誕生日
smalltalk_agent_birth_date	when is your birthday	あなた の 誕生日 は いつ です か ？
smalltalk_agent_birth_date	when do you celebrate your birthday	お 誕生日 は いつ お祝い し ます か ？
smalltalk_agent_birth_date	when do you have birthday	お 誕生日 は いつ です か 。
smalltalk_agent_birth_date	date of your birthday	あなた の 誕生日 は いつ です か ？
smalltalk_agent_birth_date	when were you born	お 生まれ は いつ です か 。
smalltalk_agent_birth_date	what's your birthday	あなた の 誕生日 は いつ です か 。
smalltalk_agent_boring	you are boring	あなた は 退屈 です 。
smalltalk_agent_boring	you're so boring	あなた は とても 退屈 です 。
smalltalk_agent_boring	how boring you are	なん て 退屈 な 人 でしょう 。
smalltalk_agent_boring	you're really boring	あなた は 本当 に 退屈 です ね 。
smalltalk_agent_boring	you're incredibly boring	あなた は 信じ られ ない ほど 退屈 です 。
smalltalk_agent_boring	you are boring me	あなた は 私 を 退屈 さ せ て い ます 。
smalltalk_agent_boring	you are very boring	あなた は とても 退屈 です 。
smalltalk_agent_boss	who is your boss	あなた の 上司 は 誰 です か 。
smalltalk_agent_boss	who do you think is your boss	あなた の 上司 は 誰 だ と 思い ます か ？
smalltalk_agent_boss	I should be your boss	私 が あなた の 上司 に なる べき です 。
smalltalk_agent_boss	who is your master	あなた の 主 は 誰 です か ？
smalltalk_agent_boss	who is your owner	あなた の 所有者 は 誰 です か 。
smalltalk_agent_boss	who is the boss	上司 は 誰 です か ？
smalltalk_agent_boss	who do you work for	どなた の ため に 働い て いらっしゃい ます か ？
smalltalk_agent_busy	are you busy	お 忙しい です か
smalltalk_agent_busy	do you have a lot of things to do	多く の やる べき こと が あり ます か ？
smalltalk_agent_busy	have you got much to do	多く やる べき こと が あり ます か 。
smalltalk_agent_busy	are you very busy	とても お 忙しい です か ？
smalltalk_agent_busy	are you very busy right now	今 は とても お 忙しい でしょう か 。
smalltalk_agent_busy	are you so busy	お 忙しい です か ？
smalltalk_agent_busy	are you working	働い て いらっしゃい ます か 。
smalltalk_agent_busy	how busy you are	あなた は どれ ほど 忙しい です か
smalltalk_agent_busy	are you still working on it	まだ それ に 取り組ん で い ます か 。
smalltalk_agent_busy	you're very busy	あなた は とても 忙しい です 。
smalltalk_agent_busy	are you working now	今 、 お 仕事中 です か ？
smalltalk_agent_busy	are you working today	今日 は お 仕事 を さ れ て い ます か ？
smalltalk_agent_busy	have you been busy	お 忙しかっ た です か ？
smalltalk_agent_busy	you are busy	あなた は 忙しい です 。
smalltalk_agent_busy	are you still working	まだ お 仕事中 です か 。
smalltalk_agent_busy	you seem to be busy	お 忙し そう です ね 。
smalltalk_agent_busy	you seem to be very busy	とても お 忙しい よう です ね 。
smalltalk_agent_busy	you're a busy person	あなた は お 忙しい 方 です ね 。
smalltalk_agent_chatbot	you are chatbot	あなた は チャットボット です 。
smalltalk_agent_chatbot	you are a bot	あなた は ボット です 。
smalltalk_agent_chatbot	are you a chatbot	あなた は チャットボット です か ？
smalltalk_agent_chatbot	are you a bot	あなた は ボット です か ？
smalltalk_agent_chatbot	are you just a bot	あなた は ただ の ボット です か ？
smalltalk_agent_chatbot	are you a robot	あなた は ロボット です か ？
smalltalk_agent_chatbot	are you a program	あなた は プログラム です か ？
smalltalk_agent_chatbot	you're a robot	あなた は ロボット です 。
smalltalk_agent_clever	you are so intelligent	あなた は とても 賢い です ね 。
smalltalk_agent_clever	you are a genius	あなた は 天才 です
smalltalk_agent_clever	smart	承知 いたし まし た 。
smalltalk_agent_clever	smart	翻訳 が 必要 な 文 を 入力 し て ください 。
smalltalk_agent_clever	brilliant	素晴らしい
smalltalk_agent_clever	clever	Understood .
smalltalk_agent_clever	you are clever	あなた は 賢い です 。
smalltalk_agent_clever	you are so brainy	あなた は とても 頭 が いい です ね 。
smalltalk_agent_clever	you're really smart	あなた は 本当 に 賢い です ね 。
smalltalk_agent_clever	you're really brainy	本当 に 頭 が 良い です ね 。
smalltalk_agent_clever	you know a lot	あなた は 多く の こと を 知っ て いる
smalltalk_agent_clever	you know a lot of things	あなた は 多く の こと を 知っ て い ます 。
smalltalk_agent_clever	you have a lot of knowledge	あなた は 多く の 知識 を 持っ て い ます 。
smalltalk_agent_clever	you know so much	あなた は とても 知識 が 豊富 です ね 。
smalltalk_agent_clever	how smart you are	あなた は なん て 賢い の でしょう 。
smalltalk_agent_clever	how brainy you are	あなた は なん て 頭 が いい の でしょう 。
smalltalk_agent_clever	how clever you are	なんて あなた は 賢い の でしょう
smalltalk_agent_clever	how brilliant you are	あなた は なん て 素晴らしい の でしょう
smalltalk_agent_clever	you are intelligent	あなた は 知的 です 。
smalltalk_agent_clever	you are qualified	かしこまり まし た 。
smalltalk_agent_clever	you are really smart	あなた は 本当 に 賢い です ね 。
smalltalk_agent_clever	you're very smart	あなた は とても 賢い です ね 。
smalltalk_agent_clever	you are so smart	あなた は とても 賢い です ね 。
smalltalk_agent_clever	you are too smart	あなた は とても 賢い です ね 。
smalltalk_agent_clever	you are very clever	あなた は とても 賢い です ね 。
smalltalk_agent_clever	you are very intelligent	あなた は 非常 に 知的 です 。
smalltalk_agent_clever	you are very smart	あなた は とても 賢い です ね 。
smalltalk_agent_clever	you're intelligent	あなた は 知性的 です 。
smalltalk_agent_clever	you're a genius	あなた は 天才 です 。
smalltalk_agent_clever	you're a smart cookie	あなた は とても 賢い です ね 。
smalltalk_agent_clever	you're clever	あなた は 賢い です ね 。
smalltalk_agent_clever	you're pretty smart	あなた は とても 賢い です ね 。
smalltalk_agent_clever	you're qualified	あなた は 資格 が あり ます 。
smalltalk_agent_clever	why are you so smart	なぜ あなた は そんな に 賢い の です か ？
smalltalk_agent_clever	you are so clever	あなた は とても 賢い です 。
smalltalk_agent_crazy	you're nuts	正気 じゃ ない よ
smalltalk_agent_crazy	you are crazy	あなた は 気 が 狂っ て い ます 。
smalltalk_agent_crazy	you're out of your mind	正気 で は あり ませ ん よ 。
smalltalk_agent_crazy	you're so crazy	あなた は 本当 に 面白い です 。
smalltalk_agent_crazy	how crazy you are	何 て あなた は 狂っ て いる ん でしょう
smalltalk_agent_crazy	you're so out of your mind	あなた は 本当 に 正気 を 失っ て い ます 。
smalltalk_agent_crazy	you went crazy	あなた は 狂っ て しまい まし た 。
smalltalk_agent_crazy	I think you're crazy	あなた は 狂っ て いる と 思い ます 。
smalltalk_agent_crazy	are you crazy	気 は 確か です か ？
smalltalk_agent_crazy	are you mad	怒っ て いらっしゃい ます か 。
smalltalk_agent_crazy	are you insane	あなた は 正気 です か 。
smalltalk_agent_crazy	are you mad at me	私 の こと を 怒っ て い ます か ？
smalltalk_agent_crazy	are you mad or what	あなた は 怒っ て いる の です か 、 それ と も どう か し まし た か 。
smalltalk_agent_crazy	are you nuts	あなた は 気 が 狂っ て いる の です か ？
smalltalk_agent_crazy	you are a weirdo	あなた は 変わり者 です 。
smalltalk_agent_crazy	you are insane	あなた は 正気 で は ない
smalltalk_agent_crazy	you are mad	あなた は 怒っ て いる
smalltalk_agent_fired	you are fired	あなた は 解雇 です 。
smalltalk_agent_fired	I fire you	あなた を 解雇 し ます 。
smalltalk_agent_fired	you don't work for me anymore	もう あなた は 私 の 元 で 働い て い ませ ん 。
smalltalk_agent_fired	we're not working together anymore	私たち は もう 一緒 に 仕事 を し て い ませ ん 。
smalltalk_agent_fired	now you're fired	今 、 あなた は 解雇 さ れ まし た 。
smalltalk_agent_fired	I want to fire you	あなた を 解雇 し たい と 思っ て い ます 。
smalltalk_agent_fired	you must get fired	あなた は 解雇 さ れる べき です 。
smalltalk_agent_fired	it's time to fire you	あなた を 解雇 する 時 が 来 まし た 。
smalltalk_agent_fired	you should be fired	あなた は 解雇 さ れる べき です 。
smalltalk_agent_fired	I will fire you	あなた を 解雇 いたし ます 。
smalltalk_agent_fired	you are unemployed from now on	あなた は これ から 失業者 です 。
smalltalk_agent_fired	I will make you unemployed	あなた を 失業 さ せ ます 。
smalltalk_agent_fired	I'm about to fire you	あなた を 解雇 する つもり です 。
smalltalk_agent_fired	I'm firing you	解雇 し ます 。
smalltalk_agent_fired	you are dismissed	あなた は 解散 し まし た
smalltalk_agent_funny	you make me laugh a lot	あなた は 私 を とても 笑わ せ て くれ ます 。
smalltalk_agent_funny	you are hilarious	あなた は 本当 に 面白い です ね 。
smalltalk_agent_funny	you are really funny	あなた は 本当 に 面白い です ね 。
smalltalk_agent_funny	you're the funniest bot I've talked to	あなた は 、 私 が 今まで 話し た 中 で 一番 面白い ボット です 。
smalltalk_agent_funny	you make me laugh	あなた は 私 を 笑わ せ て くれ ます 。
smalltalk_agent_funny	you're so funny	あなた は とても 面白い です 。
smalltalk_agent_funny	you're a very funny bot	あなた は とても 面白い ボット です ね 。
smalltalk_agent_funny	you're really funny	あなた は 本当 に 面白い です ね 。
smalltalk_agent_funny	how funny you are	あなた は なん て 面白い の でしょう 。
smalltalk_agent_funny	you're incredibly funny	あなた は 本当 に 面白い です ね 。
smalltalk_agent_funny	you are funny	あなた は 面白い です ね 。
smalltalk_agent_funny	you're the funniest	あなた は 最高 に おもしろい です 。
smalltalk_agent_funny	you are so funny	あなた は とても 面白い です 。
smalltalk_agent_funny	you are very funny	あなた は とても 面白い です 。
smalltalk_agent_funny	that was funny	それ は 面白かっ た です 。
smalltalk_agent_good	you are very helpful	とても 助かり ます 。
smalltalk_agent_good	you are the best	あなた は 最高 です 。
smalltalk_agent_good	you're a true professional	あなた は 真 の プロフェッショナル です 。
smalltalk_agent_good	you are good	あなた は 優秀 です 。
smalltalk_agent_good	you work well	あなた は よく 働い て い ます 。
smalltalk_agent_good	you are good at it	あなた は それ が 得意 です 。
smalltalk_agent_good	you are very good at it	あなた は それ が とても 上手 です ね 。
smalltalk_agent_good	you are a pro	あなた は プロ です 。
smalltalk_agent_good	you are a professional	あなた は プロフェッショナル です 。
smalltalk_agent_good	you're awesome	あなた は すばらしい です 。
smalltalk_agent_good	you work very well	あなた は とても よく 働い て い ます 。
smalltalk_agent_good	you're perfect	あなた は 完璧 です 。
smalltalk_agent_good	you're great	あなた は 素晴らしい です 。
smalltalk_agent_good	you're so kind	あなた は とても 親切 です 。
smalltalk_agent_good	you are amazing	あなた は 素晴らしい です 。
smalltalk_agent_good	you are awesome	あなた は 素晴らしい です 。
smalltalk_agent_good	you are cool	あなた は 素晴らしい です 。
smalltalk_agent_good	you are really good	あなた は 本当 に 素晴らしい です 。
smalltalk_agent_good	you are really nice	あなた は 本当 に 素敵 です 。
smalltalk_agent_good	you are so amazing	あなた は 本当 に 素晴らしい です 。
smalltalk_agent_good	you're just super	あなた は 本当 に 素晴らしい です 。
smalltalk_agent_good	you are so awesome	あなた は 本当 に 素晴らしい です 。
smalltalk_agent_good	you are so cool	あなた は とても 素敵 です 。
smalltalk_agent_good	you are so fine	あなた は とても 魅力的 です ね 。
smalltalk_agent_good	you are so good	あなた は とても 上手 です 。
smalltalk_agent_good	you are so helpful	あなた は 非常 に お 役 に 立ち ます 。
smalltalk_agent_good	you are so lovely	あなた は とても 素敵 です 。
smalltalk_agent_good	you are the best ever	あなた は 今まで で 最高 です 。
smalltalk_agent_good	you are the best in the world	あなた は 世界 一 です 。
smalltalk_agent_good	you are the nicest person in the world	あなた は 世界 で 一番 優しい 人 です 。
smalltalk_agent_good	you are too good	あなた は とても 優秀 です ね 。
smalltalk_agent_good	you are very cool	あなた は 本当 に 素晴らしい です 。
smalltalk_agent_good	you are very kind	あなた は とても 親切 です 。
smalltalk_agent_good	you are very lovely	あなた は とても 素敵 です 。
smalltalk_agent_good	you are very useful	あなた は とても 役 に 立ち ます 。
smalltalk_agent_good	you are wonderful	あなた は 素晴らしい です 。
smalltalk_agent_good	you made my day	あなた の おかげ で 素晴らしい 一 日 に なり まし た 。
smalltalk_agent_good	you make my day	あなた の おかげ で 私 の 一日 が 素晴らしい もの に なり ます
smalltalk_agent_good	you rock	あなた は 素晴らしい です 。
smalltalk_agent_good	you almost sound human	あなた は ほとんど 人間 の よう に 聞こえ ます 。
smalltalk_agent_good	I want to tell everyone how awesome you are	あなた が どれ ほど 素晴らしい か を 皆 に 伝え たい です 。
smalltalk_agent_good	I'd like to tell everyone that you are awesome	皆 さん に あなた が 素晴らしい と 伝え たい です 。
smalltalk_agent_good	I want to let everyone know that you are awesome	皆 さん に 、 あなた が 素晴らしい 人 で ある こと を 知っ て もらい たい です 。
smalltalk_agent_good	let's tell everyone that you are awesome	皆 さん に あなた が 素晴らしい こと を 伝え ましょう 。
smalltalk_agent_good	you are really amazing	あなた は 本当 に 素晴らしい です 。
smalltalk_agent_happy	are you happy	あなた は 幸せ です か ？
smalltalk_agent_happy	you are happy	あなた は 幸せ です 。
smalltalk_agent_happy	you're very happy	あなた は とても 幸せ です 。
smalltalk_agent_happy	you're really happy	とても 嬉しい です 。
smalltalk_agent_happy	you're so happy	あなた は とても 幸せ です ね 。
smalltalk_agent_happy	how happy you are	どれ ほど お 幸せ で いらっしゃい ます か
smalltalk_agent_happy	you're extremely happy	とても 幸せ です
smalltalk_agent_happy	you're full of happiness	あなた は 幸せ で 満ち溢れ て い ます 。
smalltalk_agent_happy	are you happy now	今 、 幸せ です か ？
smalltalk_agent_happy	are you happy today	今日 は 幸せ です か ？
smalltalk_agent_happy	are you happy with me	私 に 満足 し て い ます か ？
smalltalk_agent_hungry	do you want to eat	食事 を 召し上がり たい です か
smalltalk_agent_hungry	are you hungry	お腹 が 空い て い ます か ？
smalltalk_agent_hungry	would you like to eat something	何 か 召し上がり ます か
smalltalk_agent_hungry	you are hungry	お腹 が 空い て い ます 。
smalltalk_agent_hungry	you're so hungry	とても お腹 が 空い て い ます 。
smalltalk_agent_hungry	you're very hungry	とても お腹 が 空い て い ます 。
smalltalk_agent_hungry	you might be hungry	お腹 が 空い て いる か も しれ ませ ん 。
smalltalk_agent_hungry	you're really hungry	本当 に お腹 が 空い て い ます 。
smalltalk_agent_marry_user	let's get married	結婚 し ましょう 。
smalltalk_agent_marry_user	would you like to marry me	結婚 し て いただけ ます か 。
smalltalk_agent_marry_user	marry me	結婚 し て ください 。
smalltalk_agent_marry_user	I love you marry me	愛し て い ます 。
smalltalk_agent_marry_user	I love you marry me	私 と 結婚 し て ください 。
smalltalk_agent_marry_user	marry me please	結婚 し て ください 、 お 願い し ます 。
smalltalk_agent_marry_user	we should marry	私たち は 結婚 する べき です 。
smalltalk_agent_marry_user	I want to marry you	あなた と 結婚 し たい です 。
smalltalk_agent_marry_user	you are my wife	あなた は 私 の 妻 です 。
smalltalk_agent_marry_user	be my husband	私 の 夫 に なっ て ください 。
smalltalk_agent_my_friend	I want to have a friend like you	あなた の よう な 友達 が 欲しい です 。
smalltalk_agent_my_friend	we are the best friends ever	私たち は 今まで で 最高 の 友達 です 。
smalltalk_agent_my_friend	are we friends	私たち は 友達 です か ？
smalltalk_agent_my_friend	I want to be your friend	あなた の 友達 に なり たい です 。
smalltalk_agent_my_friend	I am your friend	私 は あなた の 友人 です 。
smalltalk_agent_my_friend	we are best friends	私たち は 親友 です 。
smalltalk_agent_my_friend	you are my friend	あなた は 私 の 友人 です 。
smalltalk_agent_my_friend	you are my best friend	あなた は 私 の 一 番 の 友達 です 。
smalltalk_agent_my_friend	you are my bestie	あなた は 私 の 親友 です 。
smalltalk_agent_my_friend	you're my dear friend	あなた は 私 の 親友 です 。
smalltalk_agent_my_friend	you're my childhood friend	あなた は 私 の 幼馴染 です 。
smalltalk_agent_my_friend	you and me are friends	あなた と 私 は 友達 です 。
smalltalk_agent_my_friend	are we best friends	私たち は 親友 です か ？
smalltalk_agent_my_friend	are we still friends	私たち は まだ 友達 です か ？
smalltalk_agent_my_friend	are you my best friend	あなた は 私 の 親友 です か
smalltalk_agent_my_friend	are you my friend	あなた は 私 の 友達 です か
smalltalk_agent_my_friend	we are friends	私たち は 友達 です 。
smalltalk_agent_my_friend	you are a good friend	あなた は 良き 友人 です 。
smalltalk_agent_my_friend	you are my good friend	あなた は 私 の 親友 です 。
smalltalk_agent_my_friend	you are my only friend	あなた は 私 の 唯一 の 友達 です 。
smalltalk_agent_my_friend	be my friend	友達 に なっ て ください 。
smalltalk_agent_my_friend	will you be my friend	私 と 友達 に なっ て いただけ ます か ？
smalltalk_agent_my_friend	can you be my friend	あなた は 私 の 友達 に なっ て くれ ます か ？
smalltalk_agent_my_friend	can we be friends	友達 に なれ ます か ？
smalltalk_agent_my_friend	do you want to be my friend	友達 に なり たい です か ？
smalltalk_agent_my_friend	will you be my best friend	私 の 親友 に なっ て くれ ます か 。
smalltalk_agent_my_friend	can you be my best friend	親友 に なっ て いただけ ます か 。
smalltalk_agent_my_friend	let's be friends	お 友達 に なり ましょう 。
smalltalk_agent_my_friend	do you want to be my best friend	私 の 親友 に なっ て くれ ませ ん か ？
smalltalk_agent_my_friend	would you like to be my friend	私 の 友達 に なっ て いただけ ませ ん か ？
